,0
799,0
800,3
801,4
802,9
803,7
804,11
805,7
806,0
807,4
808,7
809,7
810,4
811,0
812,0
813,4
814,4
815,6
816,2
817,7
818,8
819,7
820,0
821,6
822,11
823,0
824,2
825,0
826,6
827,8
828,8
829,1
830,7
831,4
832,7
833,11
834,0
835,7
836,0
837,2
838,7
839,7
840,7
841,2
842,4
843,6
844,11
845,7
846,7
847,1
848,7
849,1
850,4
851,2
852,4
853,2
854,0
855,7
856,11
857,8
858,11
859,4
860,4
861,1
862,1
863,0
864,7
865,0
866,11
867,7
868,2
869,0
870,8
871,0
872,7
873,8
874,0
875,4
876,8
877,6
878,1
879,2
880,1
881,11
882,11
883,2
884,7
885,2
886,11
887,6
888,11
889,6
890,4
891,4
892,7
893,6
894,1
895,8
896,4
897,0
898,2
899,8
900,2
901,6
902,9
903,6
904,6
905,8
906,0
907,0
908,4
909,8
910,2
911,10
912,11
913,7
914,3
915,9
916,1
917,0
918,7
919,1
920,2
921,9
922,7
923,9
924,7
925,3
926,0
927,6
928,6
929,4
930,4
931,7
932,9
933,11
934,11
935,11
936,11
937,7
938,4
939,7
940,10
941,7
942,9
943,4
944,0
945,4
946,7
947,7
948,9
949,6
950,1
951,2
952,6
953,7
954,2
955,11
956,2
957,7
958,9
959,11
960,1
961,5
962,4
963,9
964,1
965,2
966,8
967,5
968,1
969,1
970,3
971,3
972,5
973,11
974,3
975,2
976,9
977,10
978,9
979,8
980,3
981,5
982,3
983,5
984,1
985,1
986,1
987,5
988,3
989,9
990,3
991,8
992,4
993,1
994,3
995,5
996,10
997,1
998,9
999,3
1000,1
1001,8
1002,1
1003,9
1004,9
1005,8
1006,9
1007,9
1008,5
1009,9
1010,3
1011,4
1012,9
1013,4
1014,3
1015,5
1016,8
1017,10
1018,8
1019,1
1020,9
1021,10
1022,3
1023,3
1024,10
1025,3
1026,0
1027,1
1028,1
1029,9
1030,3
1031,0
1032,8
1033,10
1034,5
1035,5
1036,5
1037,8
1038,8
1039,7
1040,8
1041,5
1042,7
1043,9
1044,3
1045,3
1046,5
1047,8
1048,5
1049,3
1050,8
1051,10
1052,7
1053,3
1054,5
1055,1
1056,3
1057,3
1058,1
1059,7
1060,1
1061,0
1062,3
1063,7
1064,9
1065,5
1066,9
1067,8
1068,1
1069,5
1070,5
1071,3
1072,0
1073,0
1074,10
1075,8
